row,legacyResourceId,handle,title,vendor,productType,status,onlineStoreUrl,variant_count,variant_skus,variant_barcodes,existing_sources,existing_identifiers
1,7895542038639,kewpie-verde-melon-pan-whip-toast-spread-100g,Kewpie Verde Melon Pan Whip Toast Spread - 100g Authentic Japanese Flavor,Kewpie,,ACTIVE,https://japansprime.com/products/kewpie-verde-melon-pan-whip-toast-spread-100g,1,KWPI-MPNSPD-100,,"{""legacyResourceId"":""7895542038639"",""sourceUrl"":""https://japanesetaste.com//products/verde-melon-pan-whip-japanese-melon-bread-toast-spread-100g""}",{}
2,7895542071407,shu-uemura-botanic-yuzu-cleansing-oil-450ml,Shu Uemura Botanic Yuzu Cleansing Oil 450ml - Soothing Face Cleanser,Shu Uemura,,ACTIVE,https://japansprime.com/products/shu-uemura-botanic-yuzu-cleansing-oil-450ml,1,SHUE-BCLOIL-450,,"{""legacyResourceId"":""7895542071407"",""sourceUrl"":""https://japanesetaste.com//products/shu-uemura-botanic-cleansing-oil-450ml""}",{}
3,7895542104175,akagawa-20cm-stainless-steel-yukihira-pan-non-stick-silkware-finish,Akagawa 20cm Stainless Steel Yukihira Pan - Non-Stick Silkware Finish,Akagawa Kibutsu,,ACTIVE,https://japansprime.com/products/akagawa-20cm-stainless-steel-yukihira-pan-non-stick-silkware-finish,1,AKGW-YKIPAN-19120,,"{""legacyResourceId"":""7895542104175"",""sourceUrl"":""https://japanesetaste.com//products/yukihira-pot-stainless-steel-deep-saucepan-20cm""}",{}
4,7895542792303,akagawa-18cm-oyakodon-pan,Akagawa 18cm Oyakodon Pan: Authentic Japanese Flavor with Non-Stick Silkware Coating & Ergonomic Wooden Handle,Akagawa,Oyakodon Pan,ACTIVE,https://japansprime.com/products/akagawa-18cm-oyakodon-pan,1,AKGW-OYKPAN-91031,,"{""legacyResourceId"":""7895542792303"",""sourceUrl"":""https://japanesetaste.com//products/japanese-oyako-nabe-pan-ih-compatible-oyakodon-pan-178mm""}",{}
5,7895542890607,dr-ci-labo-enrich-lift-up-lotion-ex-firming-anti-aging-toner-150ml,Dr.Ci:Labo Enrich Lift Up Lotion EX - Firming Anti-Aging Toner 150ml,Dr.Ci:Labo,,ACTIVE,https://japansprime.com/products/dr-ci-labo-enrich-lift-up-lotion-ex-firming-anti-aging-toner-150ml,1,DCLB-ELUPLO-150,,"{""legacyResourceId"":""7895542890607"",""sourceUrl"":""https://japanesetaste.com//products/dr-ci-labo-enrich-lift-up-lotion-150ml""}",{}
6,7895542923375,copic-sketch-marker-set-24-professional-alcohol-based-colors,Copic Sketch Marker Set - 24 Professional Alcohol-Based Colors,Copic,,ACTIVE,https://japansprime.com/products/copic-sketch-marker-set-24-professional-alcohol-based-colors,1,CPIC-SKTMRK-SET24,,"{""legacyResourceId"":""7895542923375"",""sourceUrl"":""https://japanesetaste.com//products/copic-markers-sketch-marker-set-24-colors""}",{}
7,7895542956143,kao-clear-clean-natural-mint-toothpaste-120g,Kao Clear Clean Natural Mint Toothpaste 120g - Deep Cleaning Cavity Care,Kao,,ACTIVE,https://japansprime.com/products/kao-clear-clean-natural-mint-toothpaste-120g,1,KAO-PRDTPA-MI120,,"{""legacyResourceId"":""7895542956143"",""sourceUrl"":""https://japanesetaste.com//products/kao-clear-clean-natural-mint-periodontal-toothpaste-120g""}",{}
8,7895542988911,j-taste-premium-hidaka-kombu-100g-authentic-japanese-kelp,J Taste Premium Hidaka Kombu - 100g Authentic Japanese Kelp for Dashi,J Taste,,ACTIVE,https://japansprime.com/products/j-taste-premium-hidaka-kombu-100g-authentic-japanese-kelp,1,JPNT-HDKKMB-100,,"{""legacyResourceId"":""7895542988911"",""sourceUrl"":""https://japanesetaste.com//products/j-taste-hidaka-kombu-seaweed-dried-japanese-kelp-100g""}",{}
9,7895543021679,ipsa-time-reset-aqua-w-medicated-hydrating-lotion-200ml,IPSA Time Reset Aqua W Medicated Hydrating Lotion 200ml,IPSA,,ACTIVE,https://japansprime.com/products/ipsa-time-reset-aqua-w-medicated-hydrating-lotion-200ml,1,IPSA-TTRLOT-200,,"{""legacyResourceId"":""7895543021679"",""sourceUrl"":""https://japanesetaste.com//products/ipsa-the-time-reset-aqua-moisturizing-lotion-200ml""}",{}
10,7895543119983,kanebo-kate-double-line-expert-lb-1-ultralight-brown-eyeliner,Kanebo KATE Double Line Expert LB-1 - Ultralight Brown Eye Contour Liner,Kanebo,,ACTIVE,https://japansprime.com/products/kanebo-kate-double-line-expert-lb-1-ultralight-brown-eyeliner,1,KATE-DBLEYL-LB1,,"{""legacyResourceId"":""7895543119983"",""sourceUrl"":""https://japanesetaste.com//products/kanebo-kate-double-line-expert-eyeliner-lb-1-ultralight-brown-0-5ml""}",{}
